Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
manhattan,West Village,93 Bedford Street,1.0,1.0,651.06,2400.0,-74.00540001957948,40.73213656006465,10014,6.0,1527.0,1-2-3,0.0019526959961536,0.0028057974607344,0.002641249495285526
manhattan,Yorkville,324 East 90th Street,3.0,1.0,1126.45,4895.0,-73.94939693877551,40.780138693877554,10128,22.0,62.0,Q,0.0005678281683652,0.0032898981319079,0.003023996747541574
manhattan,Chinatown,24 East Broadway,1.0,1.0,631.43,1800.0,-73.99665933333334,40.71360320512821,10002,5.0,796.0,N-Q,0.0020843594980925,0.0054952485726511,0.005428970147622066
manhattan,Midtown,150 West 56th Street,1.0,1.5,860.0,4600.0,-73.97965110486828,40.7641992,10019,18.0,1926.0,N-Q-R,0.0011088599489143,0.0011391374901817,0.0010320923054546864
manhattan,Upper East Side,111 East 80th Street,2.0,2.5,1485.0,8900.0,-73.95954434580521,40.77621799661708,10075,22.0,62.0,4-5-6,0.0026191583793566,0.0026188267759064,0.0024731594232560773
manhattan,West Village,290 West 12th Street,2.0,2.0,1298.85,6750.0,-74.00417646153846,40.737462692307695,10014,6.0,1527.0,A-C-E,0.0022013465223123,0.0028123925681343,0.0026537695316948624
manhattan,Financial District,180 Water Street,3.0,3.0,1863.22,8550.0,-74.0054525,40.7067517,10004,5.0,796.0,A-C,0.0018137320364133,0.0028895556964831,0.0024330387087910894
manhattan,Hell's Kitchen,350 West 42nd Street,0.5,1.0,522.0,3200.0,-73.99223011350482,40.75784715,10036,14.0,2869.0,A-C-E,0.0025527688087889,0.0025526988466709,0.0022017602461614906
manhattan,Midtown South,66 West 38th Street,1.0,1.0,715.34,4365.0,-73.98487766666666,40.75177233333333,10018,14.0,2869.0,7,0.0024323073501461,0.0024286458708669,0.0016357303327874915
manhattan,Financial District,7 Dey Street,2.0,2.0,1355.29,8475.0,-74.00973316326531,40.710435204081634,10007,5.0,796.0,4-5,0.0002341164292633,0.0002340221355827,0.00040994246379466326
manhattan,Upper West Side,160 West 97th Street,1.0,1.0,770.0,4400.0,-73.9690253,40.7941727,10025,24.0,1045.0,1-2-3,0.0032440548074554,0.0033074435450161,0.0030207459198955166
manhattan,upper east side-carnegie hill,420 E 54th Street,1.0,1.0,559.0,5169.0,-73.9633352,40.7558074,10022,18.0,1926.0,E,0.0011281625393325,0.0059727540274017,0.006086638737303764
manhattan,Carnegie Hill,132 East 96th Street,0.5,1.0,552.45,2395.0,-73.95155935294117,40.78603770588236,10128,22.0,62.0,4-5-6,0.0006111073059603,0.0006109055524044,0.00038088087562740695
manhattan,Lower East Side,9 Stanton Street,2.0,1.0,905.0,4144.0,-73.9925212,40.7225664,10002,5.0,796.0,B-D,0.000820226805846,0.002652018051083,0.0014014890634222361
manhattan,Manhattan Valley,253 West 109th Street,2.0,1.0,862.67,2850.0,-73.96593691666666,40.803155458333336,10025,24.0,1045.0,1,0.0012191443743876,0.001219365375221,0.001047832911655195
manhattan,Sutton Place,157 East 57th Street,2.0,1.0,944.45,5350.0,-73.9677974,40.7606557,10022,18.0,1926.0,4-5-6,0.0018776424032006,0.0018779743208575,0.0014301066037479685
manhattan,Fulton/Seaport,40 Gold Street,2.0,2.0,1246.51,5150.0,-74.0058244,40.7087823,10038,5.0,796.0,A-C,0.0004106239701703,0.0009792782370086,0.0009064170030185594
manhattan,Kips Bay,208 East 28th Street,0.5,1.0,557.52,2550.0,-73.98045242857143,40.74170485714286,10016,13.0,1549.0,4-5-6,0.0040485531505928,0.0040486662209848,0.003633748809892608
manhattan,Central Harlem,203 West 144th Street,2.0,1.0,829.0,2150.0,-73.93983936734695,40.82098603061225,10030,32.0,1278.0,2,0.0033380316998765,0.0036385087155264,0.0033928597208932737
manhattan,Hell's Kitchen,314 West 58th Street,4.0,2.0,1200.0,7000.0,-73.9832952,40.7676707,10019,18.0,1926.0,1-2-3,0.0014826462061322,0.0014827739225481,0.0007327242169147826
manhattan,Midtown,271 W 47th Street,1.0,1.0,726.43,4704.0,-73.9870121,40.7603907,10036,18.0,1926.0,1-2-3,0.0021618494182722,0.0023070435843844,0.0013166898609854323
manhattan,Gramercy Park,220 East 22nd Street,1.0,1.0,488.0,5000.0,-73.98269922222221,40.737678,10010,13.0,1549.0,4-5-6,0.0044705046440033,0.0044706689662089,0.004146659885789472
manhattan,Upper West Side,130 West 73rd Street,0.5,1.0,546.07,2200.0,-73.97927075510204,40.77841269387755,10023,20.0,1120.0,1-2-3,0.0026667920807526,0.0026995474200427,0.0026469305863825827
manhattan,Upper West Side,785 West End Avenue,1.0,1.0,730.0,3200.0,-73.9724615,40.7967973,10025,24.0,1045.0,1-2-3,0.0027995384418616,0.0028816291192531,0.002224134811009829
manhattan,Lincoln Square,645 West 59th Street,3.0,3.5,2026.0,31000.0,-73.99164928571429,40.772214081632654,10019,20.0,1120.0,1-2-3,0.009519509115245,0.0095195521051582,0.009324284394312703
manhattan,Upper West Side,250 West 104th Street,3.0,2.5,1900.0,8500.0,-73.96857665517241,40.79984710344828,10025,24.0,1045.0,1,0.0003743359132772,0.0004471592889516,0.0004385293153367014
manhattan,East Village,133 Avenue C,3.0,1.0,1084.09,3600.0,-73.97846825157698,40.7250299,10009,9.0,1618.0,L,0.0056442729655704,0.0067575790661424,0.007315748783270024
manhattan,Fulton/Seaport,200 Water Street,2.0,2.0,891.0,6300.0,-74.00476445538396,40.7074203,10038,5.0,796.0,A-C,0.0010434801638813,0.0026919171428708,0.002540977652654814
manhattan,SoHo-TriBeCa-Civic Center-Little Italy,111 Murray Street,2.0,2.0,1573.0,15000.0,-74.01273437085923,40.7154332,10282,5.0,796.0,1,0.0026847132835946,0.0034686584823391,0.0032813882516620004
manhattan,Lower East Side,150 Orchard Street,0.5,1.0,549.34,2300.0,-73.98884484615385,40.72060623076924,10002,7.0,1109.0,M,0.0013378529496163,0.0020725479174695,0.0019250502403360924
manhattan,Lincoln Square,21 West End Avenue,1.0,1.0,773.64,6147.0,-73.9903645,40.7724949,10023,20.0,1120.0,1-2-3,0.0082100404872345,0.0082100789235783,0.00801276773172008
