Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
bronx,New_Dev,224 East 135th Street,1.0,1,0,2200.0
bronx,New_Dev,224 East 135th Street,2.0,1,0,2800.0
bronx,University Heights,200 West Kingsbdge Road,1.0,1,0,1750.0
bronx,Concourse,860 Grand Concourse,1.0,1,0,1950.0
bronx,Van Nest,1755 Taylor Avenue,3.0,1,0,2425.0
bronx,Riverdale,5614 Riverdale Avenue,3.0,1,1100,2400.0
bronx,Schuylerville,2738 Gifford Avenue,0.5,1,550,1450.0
bronx,Riverdale,3333 Henry Hudson Parkway,0.5,2,0,4900.0
bronx,Crotona Park East,1536 Longfellow Avenue,4.0,1,0,2350.0
bronx,Fordham,2567 Decatur Avenue,3.0,1,0,2200.0
bronx,Fordham,2549 Decatur Avenue,2.0,1,0,1850.0
bronx,New_Dev,2401 3rd Avenue,1.0,1,0,3178.0
bronx,Bronxwood,2700 Bronx Park East,1.0,1,483,1675.0
bronx,Soundview,1064 Ward Avenue,1.0,1,0,1550.0
bronx,Kingsbridge Heights,114 West 238th Street,1.0,1,0,1650.0
bronx,New_Dev,276 Grand Concourse,1.0,1,0,2825.0
bronx,Mott Haven,329 East 132nd Street,2.0,2,0,2950.0
bronx,Pelham Gardens,2519 Woodhull Avenue,3.0,1,0,3200.0
bronx,Belmont,667 East 187th Street,1.0,1,0,1450.0
bronx,Concourse,143 East 149th Street,4.0,1.5,0,2850.0
bronx,Parkchester,2130 East Tremont Avenue,2.0,1,0,2150.0
