,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
3285,manhattan,Yorkville,340 East 93rd Street,1,1,0,3400.0
3286,manhattan,Lincoln Square,59 West 69th Street,2,1.5,0,4495.0
3287,manhattan,Upper West Side,161 West 72nd Street,1,1,0,2800.0
3288,manhattan,Kips Bay,311 East 25th Street,0.5,1,0,2250.0
3289,manhattan,Hell's Kitchen,516 West 47th Street,2,2,829,4500.0
3290,manhattan,Midtown,235 West 56th Street,1,1,0,4280.0
3291,manhattan,Hell's Kitchen,500 W 56th Street,1,1,0,4645.0
3292,manhattan,Turtle Bay,150 E 44th Street,2,2,1026,6318.0
3293,manhattan,New_Dev,7 West 21st Street,1,1,665,5850.0
3294,manhattan,New_Dev,222 East 44th Street,2,2,0,11300.0
3295,manhattan,Tribeca,105 Duane Street,0.5,1,469,5400.0
