,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
126,queens,Astoria,38-14 Astoria Boulevard South,2,1,0,2100.0
127,queens,New_Dev,16-26 Madison Street,1,1,0,2500.0
128,queens,Astoria,25-74 48th Street,1,1,0,1700.0
129,queens,Ridgewood,3-61 Saint Nichlas Avenue,3,1.5,0,3200.0
130,queens,New_Dev,43-22 Queens Street,1,1,0,4440.0
131,queens,Corona,97-05 Horace Harding Expressway,0.5,1,468,1920.0
132,queens,Astoria,31-38 36th Street,2,1,0,2050.0
133,queens,Astoria,28-15 42nd Street,1,1,0,1800.0
134,queens,Ditmars-Steinway,29-11 21st Avenue,1,1,700,2250.0
135,queens,Ditmars-Steinway,19-05 22 Road,2,1,800,2200.0
136,queens,Astoria,32-54 47th Street,2,1,900,2000.0
137,queens,Astoria,32-53 41st Street,3,1,0,2650.0
138,queens,Forest Hills,76-13 113rd Street,1,1,700,1750.0
139,queens,Murray Hill (Queens),149-43 35th Avenue,2,2,0,2400.0
140,queens,Astoria,33-26 28th Street,3,1,0,2995.0
141,queens,Astoria,34-51 9th Street,2,1,0,2500.0
142,queens,Jackson Heights,32-36 71st Street,1,1,750,1499.0
143,queens,Hunters Point,4-75 48th Avenue,0.5,1,550,3145.0
144,queens,New_Dev,43-22 Queens Street,1,1,0,4440.0
145,queens,Jamaica Hills,160-11 84th Avenue,2,1,0,1800.0
146,queens,Hunters Point,47-05 Center Boulevard,1,1,771,3950.0
147,queens,Long Island City,41-42 24th Street,1,1,0,3009.0
148,queens,Astoria,32-46 35th Street,2,1,0,2500.0
149,queens,Ditmars-Steinway,21-46 74th Street,3,2,0,2999.0
150,queens,Long Island City,41-42 24th Street,1,1,0,3091.0
151,queens,Kew Gardens,85-32 131st Street,1,1,0,1600.0
152,queens,Ditmars-Steinway,21-81 Steinway Street,1,1,800,2499.0
153,queens,Astoria,34-07 41st Street,0.5,1,0,1775.0
154,queens,Ridgewood,719 Seneca Avenue,4,3,0,4200.0
155,queens,Ditmars-Steinway,22-28 Crescent Street,1,1,0,2199.0
156,queens,Elmhurst,83-02 Cornish Avenue,1,1,0,1775.0
157,queens,Forest Hills,95-17 68th Avenue,3,2,1500,3850.0
158,queens,Ridgewood,66-12 60 Lane,2,1,1000,2200.0
159,queens,Ditmars-Steinway,23-37 37th Street,3,1,0,3100.0
160,queens,Oakland Gardens,225-16 69th Avenue,1,1,725,1850.0
161,queens,Arverne,325 Beach 65th Street,2,2,0,2100.0
162,queens,Ridgewood,1733 Starr Street,3,2.5,2000,4500.0
163,queens,Richmond Hill,85-55 115th Street,1,1,650,1450.0
164,queens,Hunters Point,42-22 27th Street,1,1,0,4225.0
165,queens,New_Dev,44-41 Purves Street,2,2,1000,4799.0
166,queens,New_Dev,44-41 Purves Street,2,2,1000,5360.0
167,queens,Ridgewood,68-07 Forest Avenue,4,1.5,0,3200.0
168,queens,Flushing,142-11 41st Avenue,0.5,1,550,1425.0
169,queens,Astoria,11-08 31 Drive,1,1,720,2819.0
170,queens,Corona,97-05 Horace Harding Expressway,0.5,1,468,1920.0
171,queens,Briarwood,139-08 85 Drive,1,1,0,1725.0
172,queens,Ridgewood,18-79 Linden Street,3,1.5,0,3000.0
173,queens,Sunnyside,43-35 44th Street,1,1,0,2200.0
174,queens,Briarwood,139-60 85 Drive,2,1,0,1995.0
175,queens,Ditmars-Steinway,19-67 80th Street,1,1,0,1750.0
176,queens,Ridgewood,1915 Palmetto Street,5,2,0,3750.0
177,queens,Murray Hill (Queens),149-43 35th Avenue,1,1,808,1750.0
178,queens,Flushing,143-23 Barclay Avenue,0.5,1,550,1445.0
179,queens,Astoria,30-17 45th Street,1,1,0,2100.0
180,queens,Flushing,143-16 Barclay Avenue,2,1,850,2195.0
181,queens,Ditmars-Steinway,21-32 29th Street,1,1,700,1900.0
182,queens,Ridgewood,2034 Himrod Street,2,1,1000,2650.0
183,queens,Corona,97-05 Horace Harding Expressway,0.5,1,468,1920.0
184,queens,Briarwood,135-23 82nd Avenue,1,1,700,1950.0
185,queens,Kew Gardens,83-30 Kew Gardens Road,2,2,0,3200.0
186,queens,Astoria,34-17 37th Street,2,1,900,2400.0
187,queens,Glendale,70-36 68th Street,3,1,0,2299.0
188,queens,Astoria,32-48 41st Street,2,1,0,2000.0
189,queens,Astoria,30-33 32nd Street,1,1,0,1900.0
190,queens,Astoria,25-52 38th Street,0.5,1,0,1725.0
191,queens,Hunters Point,42-20 27th Street,2,2,0,5900.0
192,queens,Woodside,39-21 57th Street,0.5,1,0,1450.0
193,queens,New_Dev,44-41 Purves Street,2,2,0,4800.0
194,queens,Jackson Heights,88-01 35th Avenue,1,1,745,1775.0
195,queens,New_Dev,43-22 Queens Street,1,1,0,4440.0
196,queens,New_Dev,28-10 Jackson Avenue,2,2,0,5537.0
197,queens,Hunters Point,42-20 27th Street,1,1,0,4225.0
198,queens,Ditmars-Steinway,21-17 Shore Boulevard,2,1,0,2450.0
199,queens,New_Dev,44-41 Purves Street,2,2,0,5375.0
200,queens,Sunnyside,41-00 43rd Avenue,1,1,850,2070.0
201,queens,Kew Gardens,118-18 Metropolitan Avenue,1,1,700,1650.0
202,queens,New_Dev,44-41 Purves Street,2,2,0,4800.0
203,queens,New_Dev,44-41 Purves Street,3,2,0,5800.0
204,queens,Rego Park,99-52 62 Road,0.5,1,0,1550.0
205,queens,Jackson Heights,34-19 90th Street,1,1,0,1750.0
206,queens,Forest Hills,111-45 76 Drive,2,1,1100,2250.0
207,queens,Rego Park,65-50 Wetherole Street,2,1,0,2250.0
208,queens,Ditmars-Steinway,20-47 42nd Street,1,1,0,1900.0
209,queens,New_Dev,43-22 Queens Street,1,1,0,4440.0
210,queens,Ditmars-Steinway,21-36 Steinway Street,1,1,500,1575.0
211,queens,Astoria,33-26 28th Street 3-FLOOR,3,1,1100,2799.0
212,queens,Ditmars-Steinway,24-25 28th Street,3,1,900,2650.0
213,queens,Astoria,25-69 33rd Street,1,1,0,1700.0
214,queens,Hunters Point,46-09 11th Street,1,1,0,3002.0
215,queens,Hunters Point,27-21 44 Drive,2,1,799,4200.0
216,queens,New_Dev,44-41 Purves Street,2,2,0,4800.0
217,queens,Rego Park,66-39 Burns Street,0.5,1,0,1250.0
218,queens,Astoria,31-72 30th Street,2,1,0,2995.0
219,queens,Woodside,43-16 53rd Street,1,1,0,1499.0
220,queens,Astoria,25-54 41st Street FRONT-2,3,1,0,2999.0
221,queens,Hunters Point,22-44 Jackson Avenue,1,1,0,3475.0
222,queens,Corona,97-05 Horace Harding Expressway,0.5,1,468,1920.0
223,queens,Woodside,37-53 62nd Street,2,1,0,1875.0
224,queens,Woodside,61-15 43rd Avenue,1,1,700,1850.0
225,queens,Astoria,21-10 30th Avenue,3,1,0,2750.0
226,queens,Far Rockaway,20-25 Seagirt Boulevard,1,1,756,1865.0
227,queens,Ditmars-Steinway,22-58 Steinway Street,0.5,1,0,1500.0
