Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
bronx,Bronx,22 East 212th Street,2.0,1.0,841.4,2200.0,-73.87887111111111,40.88383,10467.0,52.0,2092.0,4,0.0021121265846722,0.0022102662325965,0.003002469316031611
bronx,Morris Heights,1633 Macombs Road,1.0,1.0,633.06,1850.0,-73.91736207815447,40.8461613023418,10452.0,46.0,2002.0,4,0.0031861362709832,0.0031859574857508,0.003079761211731598
bronx,west concourse,228 East 135th Street,2.0,1.0,861.03,2800.0,-73.93017744736842,40.81041402631579,10451.0,44.0,2726.0,4-5-6,0.0018400194715053,0.002829103726161,0.002721171806559518
bronx,west concourse,276 Grand Concourse,2.0,2.0,1194.16,3550.0,-73.9293465,40.81378782608696,10451.0,44.0,2726.0,4-5,0.0001136198919079,0.0007552522244989,0.0006564883474212611
bronx,west concourse,2401 3rd Avenue,2.0,2.0,1240.69,4972.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,west concourse,228 East 135th Street,1.0,1.0,645.99,2245.0,-73.93017744736842,40.81041402631579,10451.0,44.0,2726.0,4-5-6,0.0018400194715053,0.002829103726161,0.002721171806559518
bronx,Concourse,343 East 173rd Street,1.0,1.0,629.79,1750.0,-73.90517688461537,40.84351965384615,10457.0,44.0,2726.0,B-D,0.0048252711500147,0.0055008069760245,0.004797010536610561
bronx,west concourse,2401 3rd Avenue,0.5,1.0,453.0,2943.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,City Island,456 City Island Avenue,1.0,1.0,627.99,1695.0,-73.78830662499999,40.851106375,10464.0,45.0,1350.0,6,0.039837435818306,0.0398374474795052,0.037700792999705905
bronx,Morris Heights,1635 Macombs Road,1.0,1.0,633.06,1850.0,-73.9166647,40.8470536,10453.0,46.0,2002.0,4,0.003283786878708,0.0032835220303892,0.0030966168491583525
bronx,Belmont,518 East 187th Street,1.0,1.0,620.8,1475.0,-73.89033252380952,40.85691719047619,10458.0,48.0,1780.0,B-D,0.0086125015851906,0.0086126706421086,0.008257137775806108
bronx,Spuyten Duyvil,2728 Henry Hudson Parkway,1.0,1.0,850.0,2250.0,-73.91676068456376,40.881424926174496,10463.0,50.0,1027.0,1,0.009668781677154,0.0097536674778558,0.009362958925922338
bronx,Kingsbridge Heights,3340 Fort Independence Street,0.5,1.0,527.26,1625.0,-73.89939946277843,40.879580377588894,10463.0,50.0,1027.0,1,0.0040793626952609,0.00529492345818,0.005161787549987099
bronx,Concourse,1254 Sherman Avenue,1.0,1.0,600.0,1050.0,-73.9153062857143,40.83458132653061,10456.0,44.0,2726.0,B-D,0.0031878843131738,0.0032295466491897,0.0019389123175843107
bronx,Fordham,2700 Creston Avenue,1.0,1.0,626.75,1657.0,-73.89434386111111,40.86795080555555,10468.0,52.0,2092.0,B-D,0.0012821822655678,0.0012819296663824,0.0011603938303477823
bronx,Bronxwood,2720 Bronx Park East,1.0,1.0,625.7,1625.0,-73.8702417,40.8661719,10467.0,49.0,1400.0,2,0.0029757003908902,0.0030852791370675,0.0028232022849395805
bronx,Spuyten Duyvil,2465 Palisade Avenue,1.0,1.0,1000.0,3300.0,-73.9222991901712,40.87993466792459,10463.0,50.0,1027.0,1,0.0120599227156618,0.0121030491359276,0.011957672425502481
bronx,west concourse,2401 3rd Avenue,0.5,1.0,575.35,3095.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,Belmont,502 East 189th Street,1.0,1.0,630.38,1768.0,-73.88814256666666,40.85859311666667,10458.0,48.0,1780.0,B-D,0.0096142951072874,0.0099551431722934,0.009418069685412816
bronx,Morris Park,2106 Wallace Avenue,0.5,1.0,650.0,1500.0,-73.86473597142857,40.85347731428571,10462.0,49.0,1400.0,5,0.0043319485263272,0.0043326711937441,0.00399176571207093
bronx,Spuyten Duyvil,2600 Netherland Avenue,2.0,2.0,1250.0,3375.0,-73.916036,40.878462,10463.0,50.0,1027.0,1,0.0068669810264709,0.0073293819677393,0.006821119595283762
bronx,west concourse,228 East 135th Street,2.0,1.0,861.03,2800.0,-73.93017744736842,40.81041402631579,10451.0,44.0,2726.0,4-5-6,0.0018400194715053,0.002829103726161,0.002721171806559518
bronx,Bronxwood,2760 Barnes Avenue,2.0,1.0,1000.0,2100.0,-73.863388,40.86625536363636,10467.0,49.0,1400.0,5,0.0038310995327681,0.0039229371287019,0.003985083654680119
bronx,Riverdale,6425 Broadway,1.0,1.0,633.06,1850.0,-73.8965183076923,40.90348338461538,10471.0,50.0,1027.0,1,0.0143846669055246,0.0143843362118643,0.013460152188960323
bronx,Concourse,1200 College Avenue,1.0,1.0,629.79,1750.0,-73.9135,40.832386,10456.0,44.0,2726.0,B-D,0.0051221470750027,0.0051222375304593,0.004355084443290491
bronx,Mott Haven,101 Bruckner Boulevard,1.0,2.0,998.91,3600.0,-73.923106,40.805086,10454.0,44.0,2726.0,6,0.0045928969179856,0.0045930776602023,0.004364645088654819
bronx,Mott Haven,101 Bruckner Boulevard,1.0,1.0,647.79,2300.0,-73.923106,40.805086,10454.0,44.0,2726.0,6,0.0045928969179856,0.0045930776602023,0.004364645088654819
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1185.99,3300.0,-73.923106,40.805086,10454.0,44.0,2726.0,6,0.0045928969179856,0.0045930776602023,0.004364645088654819
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1182.71,3200.0,-73.923106,40.805086,10454.0,44.0,2726.0,6,0.0045928969179856,0.0045930776602023,0.004364645088654819
bronx,Kingsbridge,3422 Irwin Avenue,5.0,3.0,2108.15,4000.0,-73.906115,40.88391722222222,10463.0,50.0,1027.0,1,0.0041336273603677,0.0052208186186166,0.0049412144732760375
bronx,Riverdale,3820 Waldo Avenue,1.0,1.0,633.06,1850.0,-73.9035146,40.887669,10463.0,50.0,1027.0,1,0.0037304696050109,0.0040007384667352,0.0038565690142598093
bronx,west concourse,2401 3rd Avenue,0.5,1.0,581.76,3291.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,Riverdale,3707 Blackstone Avenue,3.0,2.0,1735.0,6900.0,-73.9117933,40.8886924,10463.0,50.0,1027.0,1,0.0113855864008104,0.0116414053607152,0.011541800914529745
bronx,Riverdale,4705 Henry Hudson Parkway,1.0,1.0,644.51,2200.0,-73.90925403392697,40.89516745,10471.0,50.0,1027.0,1,0.0122030646065056,0.0122029029914474,0.012087543204222747
bronx,west concourse,2401 3rd Avenue,2.0,2.0,1234.93,4796.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,Riverdale,4901 Henry Hudson Parkway West,1.0,1.0,644.51,2200.0,-73.90891279690675,40.896541,10471.0,50.0,1027.0,1,0.0126450545144859,0.012644862245347,0.01243261932358673
bronx,Country Club,1130 Stadium Avenue,1.0,1.0,634.54,1895.0,-73.8168099,40.8363486,10465.0,49.0,1400.0,6,0.018533569552931,0.0189153403519929,0.018469175474093803
bronx,Melrose,381 East 151st Street,1.0,1.0,623.25,1550.0,-73.91781912220797,40.817777831511286,10455.0,44.0,2726.0,2,0.0016703200992646,0.0017487967250555,0.0014886628364926512
bronx,Pelham Parkway,2120 Cruger Avenue,1.0,1.0,629.79,1750.0,-73.86683373076923,40.85346313461539,10462.0,49.0,1400.0,5,0.0033145659659015,0.0037849742403903,0.002954902260055167
bronx,Spuyten Duyvil,2728 Henry Hudson Parkway,3.0,2.0,1200.0,3250.0,-73.91676068456376,40.881424926174496,10463.0,50.0,1027.0,1,0.009668781677154,0.0097536674778558,0.009362958925922338
bronx,Concourse,85 Mcclellan Street,1.0,1.0,631.26,1795.0,-73.9210023,40.833866,10452.0,44.0,2726.0,4,0.0017173511964911,0.001717673530867,0.0017387702921128655
bronx,North New York,443 East 141st Street,3.0,2.5,1522.45,2850.0,-73.91993971428572,40.81047271428572,10454.0,44.0,2726.0,6,0.0029900701652837,0.0029897474814775,0.002789412641843476
bronx,North New York,466 Concord Avenue,2.0,1.0,834.86,2000.0,-73.90880936,40.81091664,10455.0,40.0,2320.0,6,0.0018645411162427,0.0024814416456884,0.0027173481181120133
bronx,Fordham,2376 Ryer Avenue,2.0,1.0,825.86,1725.0,-73.8980218,40.8591942,10458.0,46.0,2002.0,B-D,0.0007585024351467,0.0021194284576864,0.0020422524059929763
bronx,west concourse,276 Grand Concourse,0.5,1.0,544.93,2165.0,-73.9293465,40.81378782608696,10451.0,44.0,2726.0,4-5,0.0001136198919079,0.0007552522244989,0.0006564883474212611
bronx,west concourse,276 Grand Concourse,1.0,1.0,664.96,2825.0,-73.9293465,40.81378782608696,10451.0,44.0,2726.0,4-5,0.0001136198919079,0.0007552522244989,0.0006564883474212611
bronx,West Farms,984 Bronx Park South,2.0,1.0,825.86,1725.0,-73.87854963157895,40.84475447368421,10460.0,48.0,1780.0,2,0.0034813650715983,0.0047609361786733,0.0037728619551081147
bronx,Pelham Parkway,1025 Esplanade,1.0,1.0,629.79,1750.0,-73.8595805,40.8553222,10461.0,49.0,1400.0,5,0.0013248019383871,0.0013245604093367,0.0010252564624428542
bronx,west concourse,2401 3rd Avenue,2.0,2.0,1240.36,4962.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,Mott Haven,101 Bruckner Boulevard,1.0,1.0,647.79,2300.0,-73.923106,40.805086,10454.0,44.0,2726.0,6,0.0045928969179856,0.0045930776602023,0.004364645088654819
bronx,Concourse,1515 Grand Concourse,1.0,1.0,629.79,1750.0,-73.91228585714286,40.841263653061226,10457.0,44.0,2726.0,B-D,0.0009748138742197,0.0022524914667945,0.0015676686507564786
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1185.99,3300.0,-73.923106,40.805086,10454.0,44.0,2726.0,6,0.0045928969179856,0.0045930776602023,0.004364645088654819
bronx,Fordham,2825 Grand Concourse,2.0,1.0,834.86,2000.0,-73.89124976610618,40.869634430904135,10458.0,52.0,2092.0,B-D,8.633836584287539e-05,0.0034872285683508,0.0024507975926396047
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1182.71,3200.0,-73.923106,40.805086,10454.0,44.0,2726.0,6,0.0045928969179856,0.0045930776602023,0.004364645088654819
bronx,Throgs Neck,3153 Lafayette Avenue,3.0,1.0,980.0,2700.0,-73.82001595918368,40.832222306122446,10465.0,43.0,2813.0,6,0.0192299897187102,0.0192452491494796,0.01912725148417737
bronx,Riverdale,3660 Waldo Avenue,2.0,1.0,851.22,2500.0,-73.90479074030357,40.886397401808345,10463.0,50.0,1027.0,1,0.0042648516923681,0.0042856144536437,0.004179682351967399
bronx,Bronxwood,2702 Bronx Park East,1.0,1.0,625.7,1625.0,-73.87031459183673,40.86550887755102,10467.0,49.0,1400.0,2,0.0029629671586804,0.0030804688630706,0.0028402188088117344
bronx,west concourse,2401 3rd Avenue,0.5,1.0,579.47,3221.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,Crotona Park East,1536 Longfellow Avenue,4.0,1.0,1240.08,2350.0,-73.88590041025641,40.83322715384615,10460.0,42.0,1957.0,5,0.003929687830529,0.0043547321540924,0.004308088007515055
bronx,Castle Hill,2068 Story Avenue,3.0,1.0,1039.92,2250.0,-73.85356785714285,40.824828653061225,10473.0,43.0,2813.0,6,0.0097135359396364,0.0097138576913266,0.009420996208150016
bronx,Kingsbridge,3415 Corlear Avenue,3.0,2.0,1368.15,2850.0,-73.90482781818181,40.88311246464647,10463.0,50.0,1027.0,1,0.0026703153856407,0.0042521647992094,0.0039452117252846
bronx,west concourse,2401 3rd Avenue,0.5,1.0,453.0,2943.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,Wakefield,1012 East 223rd Street,3.0,1.5,1215.49,2900.0,-73.85241663265306,40.88349502040816,10466.0,49.0,1400.0,5,0.0089208730918303,0.0090199124200999,0.009043544494406572
bronx,Riverdale,3707 Blackstone Avenue,1.0,1.0,900.0,3500.0,-73.9117933,40.8886924,10463.0,50.0,1027.0,1,0.0113855864008104,0.0116414053607152,0.011541800914529745
