Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
brooklyn,Bedford-Stuyvesant,596 Myrtle Avenue,1.0,1.0,670.65,2999.0,-73.96053325,40.693991125,11205.0,79.0,1343.0,G,0.005139379035615,0.0051309644208201,0.005059144263086026
brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,181 Front Street,2.0,2.0,1290.54,6496.0,-73.98598783528503,40.70252645,11201.0,84.0,1063.0,F,0.0016825167832268,0.0029247817615982,0.0013264442899894263
brooklyn,Midwood,225 Avenue M,3.0,2.0,1300.0,3800.0,-73.97304157142857,40.61665910204081,11230.0,66.0,990.0,F,0.0019088468935236,0.0025129510643333,0.0013259484540723684
brooklyn,East Williamsburg,247 Johnson Avenue,1.0,1.0,646.15,2250.0,-73.93946147346793,40.7070971,11206.0,90.0,1297.0,L,0.0006435651433543,0.0004429712932556,0.0007770531110834281
brooklyn,Williamsburg,225 Maujer Street,1.0,1.0,670.69,3000.0,-73.941685,40.7111826,11206.0,90.0,1297.0,L,0.0012232128127051,0.0012514435858252,0.001094945491148505
brooklyn,Flatbush,2733 Snyder Avenue,1.0,1.0,641.24,2100.0,-73.95183738255034,40.64889624161074,11226.0,67.0,1832.0,2,0.0029844507744562,0.0030877381243082,0.0027763191226328012
brooklyn,Crown Heights,787 Franklin Avenue,3.0,1.5,1258.02,4200.0,-73.95738626666667,40.67197433333333,11238.0,77.0,1037.0,4-5,0.0013259882191659,0.00140397848666,0.001118071884496888
brooklyn,Ocean Hill,16 Gunther Place,3.0,1.0,1064.46,3000.0,-73.9118825625,40.6773178125,11233.0,73.0,1580.0,A-C,0.0010238224034476,0.0010241538051272,0.0013017181839089218
brooklyn,Downtown Brooklyn,257 Gold Street,0.5,1.0,572.08,2995.0,-73.9829758,40.696875,11201.0,84.0,1063.0,B-D,0.0019840557584643,0.0048482328878286,0.0050613128666769595
brooklyn,Bushwick,115 Stanwix Street,2.0,1.0,893.74,3800.0,-73.93526604,40.70189396,11206.0,83.0,1638.0,L,0.0041037810271121,0.0047124984472997,0.004486781150099021
brooklyn,Williamsburg,358 Broadway,1.0,1.0,660.84,2699.0,-73.9554925,40.7074504,11211.0,90.0,1297.0,J-Z,0.0020290075241449,0.0020813623061276,0.0011709663824144847
brooklyn,Bushwick,238 Stockholm Street,3.0,1.5,1222.03,3100.0,-73.92087076923077,40.70131138461539,11237.0,83.0,1638.0,M,0.0028905831302036,0.0028903458780619,0.0031876758753457525
brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,181 Front Street,2.0,2.0,1290.54,6496.0,-73.98598783528503,40.70252645,11201.0,84.0,1063.0,F,0.0016825167832268,0.0029247817615982,0.0013264442899894263
brooklyn,Ocean Hill,739 Decatur Street,4.0,2.0,1207.0,3950.0,-73.91420983333333,40.683735,11233.0,73.0,1580.0,J-Z,0.0035298802277431,0.0036172004721421,0.0026479219175479475
brooklyn,Ocean Hill,16 Gunther Place,3.0,1.0,1059.55,2850.0,-73.9118825625,40.6773178125,11233.0,73.0,1580.0,A-C,0.0010238224034476,0.0010241538051272,0.0013017181839089218
brooklyn,Brooklyn Heights,12 Pineapple Street,2.0,1.0,878.21,3325.0,-73.99564583333333,40.69882258333333,11201.0,84.0,1063.0,A-C,0.0018051957655973,0.0028970802966914,0.0026720986462411807
brooklyn,Stuyvesant Heights,182 Bainbridge Street,1.0,1.0,664.14,2800.0,-73.92953572479894,40.6809778,11233.0,81.0,1199.0,A-C,0.0020073195917014,0.0020070514915808,0.0015027666855986874
brooklyn,Flatbush,2114 Caton Avenue,1.0,1.0,631.43,1800.0,-73.95998813043478,40.6526137826087,11226.0,70.0,1410.0,Q,0.0020363210392058,0.0028627061897802,0.002523930170579111
brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,98 Front Street,1.0,1.0,713.22,4300.0,-73.98905165217391,40.70242243478261,11201.0,84.0,1063.0,F,0.0029806467833902,0.0034217511729735,0.0026135435561107576
