Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct
manhattan,Hamilton Heights,139 Edgecombe Avenue,3.0,1.0,1000.0,2945.0,-73.9446453,40.8212755,10030,32.0
manhattan,Midtown South,160 Madison Avenue,2.0,2.0,1313.57,7200.0,-73.98396484412613,40.74699315,10016,14.0
manhattan,Murray Hill,41 Park Avenue,1.0,1.0,700.0,8050.0,-73.9800333,40.7484579,10016,
manhattan,Lower East Side,353 Grand Street,2.0,1.0,892.11,3750.0,-73.9894715,40.71672325,10002,7.0
manhattan,East Harlem,1646 Madison Avenue,2.0,1.0,833.22,1950.0,-73.94788388888888,40.79600011111111,10029,
manhattan,Lincoln Square,101 West End Avenue,1.0,1.0,515.0,4625.0,-73.9880334,40.7752815,10023,20.0
manhattan,East Harlem,182 East 111st Street,3.0,2.0,1000.0,3180.0,,,,1.0
manhattan,Lower East Side,353 Grand Street,4.0,2.0,1651.73,5500.0,-73.9894715,40.71672325,10002,7.0
manhattan,Upper West Side,15 West 75th Street,2.0,1.0,1350.0,7190.0,-73.97537165217392,40.77861634782608,10023,20.0
manhattan,Washington Heights,1306 Saint Nicholas Avenue,1.0,1.0,634.7,1900.0,-73.9361488,40.8456605,10040,33.0
manhattan,Hell's Kitchen,787 Ninth Avenue,1.0,1.0,641.24,2100.0,,,,1.0
manhattan,Upper West Side,15 West 75th Street,1.0,1.0,800.0,4195.0,-73.97537165217392,40.77861634782608,10023,20.0
manhattan,East Village,211 Avenue A,1.0,1.0,677.23,3200.0,-73.93408266666667,40.79396651282052,10029,
manhattan,Kips Bay,222 East 34th Street,1.0,1.0,724.67,4650.0,-73.9769404,40.7450468,10016,
manhattan,Kips Bay,222 East 34th Street,1.0,1.0,696.04,3775.0,-73.9769404,40.7450468,10016,
manhattan,Hell's Kitchen,500 W 56th Street,1.0,1.0,712.4,4275.0,-73.98970670031224,40.7682498,10019,18.0
manhattan,Murray Hill,240 East 39th Street,2.0,2.5,1500.42,8195.0,-73.9744167,40.7480634,10016,
manhattan,Hell's Kitchen,693 Ninth Avenue,2.0,1.0,896.85,3895.0,,,,1.0
manhattan,Financial District,63 Wall Street,1.0,1.0,729.57,4800.0,-74.00857185714285,40.70578171428571,10005,
manhattan,Midtown South,309 5th Avenue,1.0,1.0,646.0,5020.0,-73.98526106217258,40.7467052,10016,14.0
manhattan,East Village,120 East 4th Street,0.5,1.0,562.43,2700.0,-73.98786304158654,40.7253568,10003,9.0
manhattan,Murray Hill,330 East 39th Street,1.0,1.0,706.67,4100.0,-73.97232902442332,40.7471105,10016,
manhattan,Hamilton Heights,545 West 148th Street,3.0,1.0,900.0,2700.0,-73.9474428367347,40.82776865306123,10031,30.0
manhattan,Murray Hill,305 East 40th Street,2.0,1.0,950.0,5200.0,-73.9725973,40.7484501,10017,
manhattan,Murray Hill,401 East 34th Street,1.0,1.0,675.0,4191.0,-73.9727084,40.7436487,10016,
manhattan,Murray Hill,401 East 34th Street,1.0,2.0,1018.0,5406.0,-73.9727084,40.7436487,10016,
manhattan,Murray Hill,401 East 34th Street,1.0,1.0,678.0,4309.0,-73.9727084,40.7436487,10016,
manhattan,Central Harlem,352 Lenox Avenue,3.0,1.0,1072.64,3250.0,-73.94414125,40.8094435,10027,32.0
manhattan,Nolita,242 Mulberry Street,0.5,1.0,575.35,3095.0,-73.99575222222222,40.72296222222222,10012,5.0
manhattan,,222 East 44th Street,1.0,1.0,758.2,5675.0,-73.9727869865328,40.751291,10017,
manhattan,Murray Hill,130 East 37th Street,0.5,1.0,572.24,3000.0,-73.978566,40.7482336,10016,
manhattan,Financial District,63 Wall Street,0.5,1.0,608.07,4095.0,-74.00857185714285,40.70578171428571,10005,
manhattan,Financial District,63 Wall Street,0.5,1.0,469.0,3595.0,-74.00857185714285,40.70578171428571,10005,
manhattan,NoMad,776 Sixth Avenue,0.5,1.0,431.0,4090.0,-73.9992012,40.7383575,10011,13.0
manhattan,Gramercy Park,290 Third Avenue,1.0,1.0,769.81,6030.0,-73.9342092,40.8068247,10037,
manhattan,Kips Bay,220 East 24th Street,3.0,2.0,1466.3,5850.0,-73.98217459183674,40.7391962244898,10010,13.0
manhattan,Hell's Kitchen,322 West 47th Street,1.0,1.0,663.98,2795.0,-73.98824402040816,40.76063567346939,10036,18.0
manhattan,Nolita,242 Mulberry Street,1.0,1.0,709.78,4195.0,-73.99575222222222,40.72296222222222,10012,5.0
manhattan,Kips Bay,220 East 24th Street,0.5,1.0,565.54,2795.0,-73.98217459183674,40.7391962244898,10010,13.0
manhattan,Sutton Place,335 East 54th Street,1.0,1.0,680.5,3300.0,-73.96538161538462,40.756919,10022,
manhattan,Upper West Side,469 Columbus Avenue,3.0,1.5,1274.37,4700.0,-73.97351915,40.78412925,10024,20.0
manhattan,Nolita,242 Mulberry Street,1.0,1.0,693.42,3695.0,-73.99575222222222,40.72296222222222,10012,5.0
manhattan,Inwood,612 Academy Street,1.0,1.0,633.88,1875.0,-73.9241735,40.864848,10034,34.0
manhattan,NoMad,50 East 28th Street,0.5,1.0,460.0,4255.0,-73.98513764864865,40.74367854054054,10016,13.0
manhattan,Midtown South,100 West 31st Street,1.0,1.0,765.56,5900.0,-73.989361,40.747883,10001,14.0
manhattan,Kips Bay,215 East 24th Street,1.0,1.5,850.0,4200.0,-73.98172600106602,40.7393046,10010,13.0
manhattan,Upper West Side,205 West 88th Street,2.0,1.0,1000.0,4995.0,-73.97425718181817,40.78916436363637,10024,24.0
manhattan,,420 E 54th Street,2.0,2.0,772.0,6053.0,-73.9633352,40.7558074,10022,
manhattan,East Harlem,2335 First Avenue,1.0,1.0,637.97,2000.0,-73.979893,40.7325657,10009,13.0
manhattan,,222 East 44th Street,1.0,1.0,758.2,5675.0,-73.9727869865328,40.751291,10017,
manhattan,Hell's Kitchen,550 West 54th Street,0.5,1.0,591.71,3595.0,-73.992445,40.768066,10019,18.0
manhattan,Lenox Hill,330 East 75th Street,1.0,1.0,650.0,3695.0,-73.9550863,40.7698148,10021,
manhattan,Hell's Kitchen,450 W 42nd Street,1.0,1.0,738.08,5060.0,-73.9943187,40.7589262,10036,10.0
manhattan,Hell's Kitchen,450 W 42nd Street,1.0,1.0,744.29,5250.0,-73.9943187,40.7589262,10036,10.0
manhattan,Flatiron,1 Union Sq S,0.5,1.0,644.71,5215.0,-73.9903291,40.7344122,10003,9.0
manhattan,Murray Hill,165 East 35th Street,0.5,1.0,575.51,3100.0,-73.9778907,40.746609,10016,
manhattan,East Village,114 East 13th Street,1.0,1.0,1100.0,6500.0,-73.98914305534578,40.73299815,10003,9.0
manhattan,Fulton/Seaport,15 Cliff Street,1.0,1.0,710.0,4815.0,-74.00566350274671,40.70842965,10038,
manhattan,Lenox Hill,10 East 62nd Street,3.0,4.5,4200.0,39995.0,-73.97111766666667,40.765825666666665,10065,
manhattan,Hell's Kitchen,440 West 47th Street,3.0,1.0,1136.43,5200.0,-73.99155426530612,40.76203481632653,10036,18.0
manhattan,Lower East Side,49 Clinton Street,1.0,1.0,670.52,2995.0,-73.9848282,40.7197812,10002,7.0
manhattan,Midtown-Midtown South,225 West 28th Street,1.0,1.0,791.73,6700.0,-73.9945066,40.7478329,10001,10.0
manhattan,NoMad,10 E 29th Street,3.0,3.0,2065.99,14748.0,-73.98612351936127,40.74476765,10016,13.0
manhattan,Murray Hill,222 East 35th Street,1.0,1.0,800.0,3400.0,-73.976701,40.745904,10016,
manhattan,East Village,211 East 13th Street,1.0,1.0,855.0,6950.0,-73.98652546538764,40.73230685,10009,9.0
manhattan,Kips Bay,143 East 30th Street,0.5,1.0,542.8,2100.0,-73.98116545454545,40.7438096060606,10016,
manhattan,Hell's Kitchen,1 Columbus Place,1.0,1.0,736.12,5000.0,,,,1.0
manhattan,Lincoln Square,75 West End Avenue,1.0,1.0,706.67,4100.0,-73.9892353,40.7737017,10023,20.0
manhattan,Nolita,227 Mulberry Street,0.5,1.0,588.44,3495.0,-73.99616866666666,40.72248666666667,10012,5.0
manhattan,Sutton Place,1065 Second Avenue,1.0,1.0,812.0,5853.0,,,,1.0
manhattan,Lincoln Square,145 West 67th Street,1.0,1.0,709.94,4200.0,-73.98343259678623,40.7755877,10023,20.0
manhattan,Fulton/Seaport,200 Water Street,2.0,2.0,948.0,6500.0,-74.00476445538396,40.7074203,10038,
manhattan,Lower East Side,229 Chrystie Street,1.0,1.0,707.0,5350.0,-73.9914325,40.7232599,10002,5.0
manhattan,Battery Park City,375 South End Avenue,0.5,1.0,625.0,3995.0,-74.01761086746647,40.711313,10280,
manhattan,Battery Park City,395 South End Avenue,0.5,1.0,574.0,3165.0,-74.01595554545455,40.71142809090909,10280,
manhattan,,50 West Street,3.0,3.0,3653.0,30000.0,-74.01500661191383,40.70782125,10006,
manhattan,Hell's Kitchen,325 West 51st Street,0.5,1.0,450.0,2695.0,-73.986619,40.763417,10019,18.0
manhattan,Upper West Side,323 West 96th Street,2.0,2.0,911.0,5750.0,-73.97420324356628,40.79594095,10025,24.0
manhattan,Yorkville,446 East 88th Street,1.0,1.0,500.0,2700.0,-73.94740924489797,40.77765993877552,10128,
manhattan,Lincoln Square,102 West 71st Street,1.0,1.0,654.33,2500.0,-73.98188579591837,40.77773381632653,10023,20.0
manhattan,East Village,120 East 13th Street,1.0,1.5,1300.0,6800.0,-73.98896287318675,40.73289655,10003,9.0
manhattan,Lenox Hill,300 East 62nd Street,2.0,2.0,1300.49,6800.0,-73.9627946,40.7622436,10065,
manhattan,East Village,182 Avenue A,0.5,1.0,555.88,2500.0,-73.9296954873684,40.79719668912283,10035,
manhattan,East Village,208 East 7th Street,2.0,1.0,872.48,3150.0,-73.97999430114005,40.724344,10009,9.0
